,All
51->52,0.09558823529411764
52->53,0.0273224043715847
53->54,0.03977272727272727
54->55,0.009615384615384616
55->56,0.022222222222222223
56->57,0.024390243902439025
57->58,0.014388489208633094
58->59,0.008264462809917356
59->60,0.05161290322580645
60->61,0.0
61->62,0.017094017094017096
62->63,0.0
63->64,0.0
64->65,0.02727272727272727
65->66,0.009009009009009009
66->67,0.0379746835443038
67->68,0.03636363636363636
68->69,0.010416666666666666
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.017857142857142856
73->74,0.02
74->75,0.0
75->76,0.0
76->77,0.010869565217391304
77->78,0.015151515151515152
78->79,0.00847457627118644
79->80,0.02564102564102564
80->81,0.008928571428571428
81->82,0.020833333333333332
82->83,0.01834862385321101
83->84,0.024793388429752067
84->85,0.049586776859504134
85->86,0.03278688524590164
86->87,0.021739130434782608
87->88,0.01639344262295082
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.014492753623188406
92->93,0.01098901098901099
93->94,0.041666666666666664
94->95,0.0
95->96,0.0
96->97,0.01652892561983471
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.008695652173913044
