,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.04
55->56,0.08
56->57,0.0
57->58,0.0
58->59,0.06
59->60,0.04
60->61,0.0
61->62,0.08
62->63,0.04
63->64,0.0
64->65,0.04
65->66,0.08
66->67,0.0
67->68,0.28
68->69,0.04
69->70,0.04
70->71,0.0
71->72,0.08
72->73,0.0
73->74,0.12
74->75,0.0
75->76,0.04
76->77,0.08
77->78,0.0
78->79,0.06
79->80,0.12
80->81,0.08
81->82,0.04
82->83,0.12
83->84,0.08
84->85,0.08
85->86,0.0
86->87,0.08
87->88,0.04
88->89,0.08
89->90,0.16
90->91,0.08
91->92,0.0
92->93,0.02
93->94,0.04
94->95,0.08
95->96,0.08
96->97,0.04
97->98,0.04
98->99,0.02
99->100,0.0
100->101,0.0
