,All
51->52,0.007352941176470588
52->53,0.01092896174863388
53->54,0.005681818181818182
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.025806451612903226
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.01818181818181818
65->66,0.0
66->67,0.012658227848101266
67->68,0.0
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.024793388429752067
85->86,0.00819672131147541
86->87,0.014492753623188406
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.013888888888888888
94->95,0.0
95->96,0.0
96->97,0.008264462809917356
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.0
